file, performance, flags, total_flag_effect
DSP_w_vec_c.c, 5270, [-fhoist-adjacent-loads (-1740.0461051485397); -funsafe-loop-optimizations (-6304.114528528419); -fno-shrink-wrap (-6940.9275483480615); -fno-finite-math-only (296.2386248469671); -foptimize-sibling-calls (-4606.038846601178); -fno-lifetime-dse (658.3849216026821); -fno-prefetch-loop-arrays (3129.122213514124); -fno-partial-inlining (-8372.711442532709); -fno-finite-math-only (296.2386248469671); -fstrict-volatile-bitfields (-2243.141511774232); -fcrossjumping (-5670.319420426811); -fno-ira-share-save-slots (-6183.137237673305); -fno-graphite (-1514.33813393748); -fno-tree-ch (-5357.878801085553); -fno-tree-coalesce-vars (-8669.641711268003); -funroll-all-loops (726.5329764434039)], -52495.77792607016
IMG_quantize_c.c, 2204, [-ftree-dce (2692.485105159875); -fno-tree-switch-conversion (-339.54212632715587); -fno-gcse (-47.55430107520324); -fsched-spec (-2324.289677567969); -faggressive-loop-optimizations (-4199.351586619552); -fno-branch-target-load-optimize2 (-4017.7890468763007); -fno-cx-limited-range (5079.810046483805); -fpredictive-commoning (-1337.8601840100057); -fno-branch-probabilities (-5747.725219743016); -fno-web (-258.31425416118554); -fno-sel-sched-pipelining (-3574.3464894794324); -fno-sched-critical-path-heuristic (-4021.034841966421); -fshort-double (1938.7680437328604); -fno-compare-elim (-1444.3962803605837); -fvar-tracking-assignments-toggle (1639.0209262815295); -fguess-branch-probability (1006.3579700424565)], -14955.761916486299
IMG_sad_16x16_c.c, 3006, [-fprefetch-loop-arrays (-192.17326946574065); -fstrict-volatile-bitfields (-2210.678346285425); -fgcse (-497.0986774065627); -fno-ipa-icf (3138.3460995067103); -fno-function-cse (1947.1947115222063); -fno-devirtualize-speculatively (-7142.5042846542265); -fisolate-erroneous-paths-dereference (-4849.240498138986); -fno-tree-loop-optimize (-3126.547555095742); -fno-sched-critical-path-heuristic (-4083.375542928406); -fno-short-wchar (-653.7143447735697); -fno-branch-target-load-optimize (6012.898284420622); -fno-stdarg-opt (-3908.1413571022176); -fvariable-expansion-in-unroller (-1129.4830285750757); -falign-functions (-1952.2430675862345); -fira-hoist-pressure (-3193.9307097147057); -fno-ira-loop-pressure (-2280.8824259607604)], -24121.574012238114
IMG_sad_8x8_c.c, 934, [-fno-sched-critical-path-heuristic (-4083.375542928406); -fno-ivopts (4025.985142729536); -ftree-lrs (1816.8040748419232); -flive-range-shrinkage (-480.8033773579792); -fno-ipa-ra (-2670.764229405883); -fno-sched-interblock (3687.914037198546); -fno-schedule-insns (-970.799132209325); -fno-graphite-identity (525.8186748375002); -fira-hoist-pressure (-3193.9307097147057); -ftree-dce (2680.106868887286); -fopt-info (-464.3677190348222); -fno-cse-follow-jumps (-2775.1284977306887)], -1902.5404098870176
IMG_sobel_c.c, 15295, [-fdelete-dead-exceptions (2832.150473496508); -fpeel-loops (-3482.4866410647805); -fno-branch-target-load-optimize (6035.256193587774); -fno-ira-share-save-slots (-6316.87478764307); -fno-threadsafe-statics (771.0162571887248); -ftree-slsr (4140.9290313639285); -fno-tree-scev-cprop (-960.3938964130992); -fno-non-call-exceptions (2205.1420571237436); -fcompare-elim (-1712.4688454032835); -fisolate-erroneous-paths-attribute (-2602.459820302123); -fgcse-sm (1221.3845360735133); -fsplit-ivs-in-unroller (-1730.1644264421611); -fdelete-null-pointer-checks (1011.9538337445239); -fno-strict-volatile-bitfields (-3883.06862599015); -fipa-sra (351.3080645161874); -fwrapv (3334.46730881602)], 1215.6907126522556
IMG_wave_horz_c.c, 581744, [-fno-branch-target-load-optimize (6026.955712455493); -fipa-ra (-693.1400251570632); -fisolate-erroneous-paths-dereference (-4834.514720439857); -ftree-copy-prop (-2841.3072963931777); -fno-tree-scev-cprop (-986.5584143157178); -fexceptions (4998.864269973811); -fipa-cp-clone (-59.93528383604878); -fno-graphite-identity (546.2349726788653); -fno-nothrow-opt (-466.5748244200653); -fno-strict-overflow (8104.747467553853); -fipa-cp (7807.170956424874); -fno-ira-hoist-pressure (11647.564096249307); -fno-modulo-sched (11227.77275767749); -funroll-all-loops (726.5329764434039); -fpartial-inlining (6602.891144808777); -fno-optimize-sibling-calls (8817.952719018627)], 56624.656508722575
IMG_wave_vert_c.c, 6346, [-fno-sched-interblock (3700.3123550437163); -fno-sched-dep-count-heuristic (-2261.202599731836); -fsingle-precision-constant (-2481.3273433432505); -fno-single-precision-constant (-1783.9172588632853); -fno-optimize-sibling-calls (8817.952719018627); -fcx-limited-range (977.7732518670813); -fno-ira-share-save-slots (-6183.137237673305); -fno-tree-loop-optimize (-3081.7276257270887); -fassociative-math (-2562.8417453892125); -fno-tree-lrs (-1346.3833557745872); -fipa-icf-functions (2920.655939790301); -fno-split-ivs-in-unroller (-3.502688171977411); -fsched-dep-count-heuristic (-1446.25016903312); -fno-section-anchors (8612.11559139805); -fno-caller-saves (799.0891991071463); -fdefer-pop (-4581.617904926489)], 95.99112759076888
IMG_ycbcr422p_rgb565_c.c, 4501, [-fno-modulo-sched (11305.926042045476); -fno-strict-enums (-499.6232549244053); -faggressive-loop-optimizations (-4199.35158661962); -ftree-dominator-opts (-3293.560223709365); -freschedule-modulo-scheduled-loops (9015.837340619053); -fno-ssa-phiopt (-1845.7054047173674); -fschedule-insns2 (-1348.9409088185628); -fno-combine-stack-adjustments (-4222.441864178257); -fmodulo-sched-allow-regmoves (-5334.617240290422); -fno-math-errno (-1005.4386203100136); -fno-btr-bb-exclusive (2087.701866458364); -fno-var-tracking-assignments (-1829.0248473397269); -fno-sched-last-insn-heuristic (-2793.9184967843803); -fno-tree-scev-cprop (-951.5307400472778); -fira-share-save-slots (-6114.239951575064); -fno-tree-fre (-2402.997830803473)], -13431.925720995043
IMG_yc_demux_be16_c.c, 774, [-fhoist-adjacent-loads (-1740.0461051485397); -funsafe-loop-optimizations (-6304.114528528419); -fno-shrink-wrap (-6940.9275483480615); -fno-finite-math-only (296.2386248469671); -foptimize-sibling-calls (-4606.038846601178); -fno-lifetime-dse (658.3849216026821); -fno-prefetch-loop-arrays (3129.122213514124); -fno-partial-inlining (-8372.711442532709); -fno-finite-math-only (296.2386248469671); -fstrict-volatile-bitfields (-2243.141511774232); -fcrossjumping (-5670.319420426811); -fno-ira-share-save-slots (-6183.137237673305); -fno-graphite (-1514.33813393748); -fno-tree-ch (-5357.878801085553); -fno-tree-coalesce-vars (-8669.641711268003); -funroll-all-loops (726.5329764434039)], -52495.77792607016
IMG_yc_demux_le16_c.c, 765, [-fhoist-adjacent-loads (-1740.0461051485397); -funsafe-loop-optimizations (-6304.114528528419); -fno-shrink-wrap (-6940.9275483480615); -fno-finite-math-only (296.2386248469671); -foptimize-sibling-calls (-4606.038846601178); -fno-lifetime-dse (658.3849216026821); -fno-prefetch-loop-arrays (3129.122213514124); -fno-partial-inlining (-8372.711442532709); -fno-finite-math-only (296.2386248469671); -fstrict-volatile-bitfields (-2243.141511774232); -fcrossjumping (-5670.319420426811); -fno-ira-share-save-slots (-6183.137237673305); -fno-graphite (-1514.33813393748); -fno-tree-ch (-5357.878801085553); -fno-tree-coalesce-vars (-8669.641711268003); -funroll-all-loops (726.5329764434039)], -52495.77792607016
