file, performance, flags, total_flag_effect
DSP_w_vec_c.c, 5270, [-fhoist-adjacent-loads (-1406.5730246284877); -funsafe-loop-optimizations (-1187.0685121404952); -fno-shrink-wrap (-2266.372194016761); -fno-finite-math-only (-3748.715056799756); -foptimize-sibling-calls (-1038.1510577176314); -fno-lifetime-dse (-1742.068324578949); -fno-prefetch-loop-arrays (-638.0027498588522); -fno-partial-inlining (-1929.4409828165185); -fno-finite-math-only (-3748.715056799756); -fstrict-volatile-bitfields (932.3504689457425); -fcrossjumping (-3615.9393239644237); -fno-ira-share-save-slots (-3824.092997854508); -fno-graphite (-1932.9283228111758); -fno-tree-ch (-4817.8027213278165); -fno-tree-coalesce-vars (-2903.253091301006); -funroll-all-loops (7013.346982803857)], -26853.425964866532
IMG_quantize_c.c, 2204, [-ftree-dce (521.2685822655164); -fno-tree-switch-conversion (-782.9934952241754); -fno-gcse (-71.46303970494498); -fsched-spec (-1679.6077050092238); -faggressive-loop-optimizations (-651.5043983626435); -fno-branch-target-load-optimize2 (-1417.3795114350983); -fno-cx-limited-range (1500.2068055876211); -fpredictive-commoning (-1097.9617888517853); -fno-branch-probabilities (-1600.0383547629958); -fno-web (-1807.4468302226444); -fno-sel-sched-pipelining (1818.791153850196); -fno-sched-critical-path-heuristic (-1170.802010352117); -fshort-double (2124.850703239103); -fno-compare-elim (-1822.745622714662); -fvar-tracking-assignments-toggle (708.0629132651939); -fguess-branch-probability (64.92518913938834)], -5363.837409293271
IMG_sad_16x16_c.c, 3006, [-fprefetch-loop-arrays (-195.48457431689525); -fstrict-volatile-bitfields (970.1463650571833); -fgcse (135.75303297385526); -fno-ipa-icf (1764.345410537879); -fno-function-cse (933.3767566346447); -fno-devirtualize-speculatively (296.0579271881753); -fisolate-erroneous-paths-dereference (610.091334474803); -fno-tree-loop-optimize (-1396.1264622112687); -fno-sched-critical-path-heuristic (-1244.725693103541); -fno-short-wchar (-1825.1789825988903); -fno-branch-target-load-optimize (-522.5165306021653); -fno-stdarg-opt (-1235.5171810840309); -fvariable-expansion-in-unroller (-801.9110355468672); -falign-functions (-33.614440973261964); -fira-hoist-pressure (-781.3545656246175); -fno-ira-loop-pressure (203.91653553692598)], -3122.7421036580718
IMG_sad_8x8_c.c, 934, [-fno-sched-critical-path-heuristic (-1244.725693103541); -fno-ivopts (4229.036678969856); -ftree-lrs (3491.20631177967); -flive-range-shrinkage (-1876.3762934961926); -fno-ipa-ra (1399.4542814303718); -fno-sched-interblock (-643.551136303437); -fno-schedule-insns (-765.2138061690041); -fno-graphite-identity (4011.2111527767097); -fira-hoist-pressure (-781.3545656246175); -ftree-dce (498.2876404868217); -fopt-info (-1114.1217387094898); -fno-cse-follow-jumps (-1179.6501769750173)], 6024.20265506213
IMG_sobel_c.c, 15295, [-fdelete-dead-exceptions (-344.2821756532253); -fpeel-loops (-1655.6627082889643); -fno-branch-target-load-optimize (-504.7738322920637); -fno-ira-share-save-slots (-3983.4186580681835); -fno-threadsafe-statics (721.5687498059807); -ftree-slsr (2128.678449659333); -fno-tree-scev-cprop (1586.7392235410623); -fno-non-call-exceptions (-1467.9456270687206); -fcompare-elim (-2143.354789463533); -fisolate-erroneous-paths-attribute (-1683.5087891232654); -fgcse-sm (-1835.6427334975322); -fsplit-ivs-in-unroller (-650.0857754742129); -fdelete-null-pointer-checks (1501.5255716124989); -fno-strict-volatile-bitfields (-1544.4587568506004); -fipa-sra (-1587.4120878602719); -fwrapv (-337.9842510064939)], -11800.018190028193
IMG_wave_horz_c.c, 581744, [-fno-branch-target-load-optimize (-500.918829816227); -fipa-ra (213.40287904820977); -fisolate-erroneous-paths-dereference (625.1282934306513); -ftree-copy-prop (3011.688110061415); -fno-tree-scev-cprop (1571.2005649019927); -fexceptions (3785.051689043064); -fipa-cp-clone (5312.759391695221); -fno-graphite-identity (4034.485657032352); -fno-nothrow-opt (4386.1363361901585); -fno-strict-overflow (13297.664275197154); -fipa-cp (9691.189937211653); -fno-ira-hoist-pressure (11825.939803276697); -fno-modulo-sched (10398.245689898578); -funroll-all-loops (7013.346982803857); -fpartial-inlining (12345.005292025735); -fno-optimize-sibling-calls (10815.53270412278)], 97825.85877612329
IMG_wave_vert_c.c, 6346, [-fno-sched-interblock (-626.2882322573793); -fno-sched-dep-count-heuristic (-1757.4073379072124); -fsingle-precision-constant (289.56321501868763); -fno-single-precision-constant (-1390.490440772195); -fno-optimize-sibling-calls (10815.53270412278); -fcx-limited-range (655.9459986285539); -fno-ira-share-save-slots (-3824.092997854508); -fno-tree-loop-optimize (-1344.0731032857018); -fassociative-math (-1374.679037400636); -fno-tree-lrs (459.9598373993481); -fipa-icf-functions (59.79459328613577); -fno-split-ivs-in-unroller (-3.4291036747885775); -fsched-dep-count-heuristic (-378.61043252657186); -fno-section-anchors (-1504.9279009605452); -fno-caller-saves (407.325590875401); -fdefer-pop (-1389.6438567431821)], -905.5205040518149
IMG_ycbcr422p_rgb565_c.c, 4501, [-fno-modulo-sched (10524.680080611613); -fno-strict-enums (-1690.0513793059847); -faggressive-loop-optimizations (-652.8976918105367); -ftree-dominator-opts (305.72194201134414); -freschedule-modulo-scheduled-loops (1120.6362557666719); -fno-ssa-phiopt (-628.7760569507604); -fschedule-insns2 (-309.290746639639); -fno-combine-stack-adjustments (-23.48730605352775); -fmodulo-sched-allow-regmoves (75.53225198090641); -fno-math-errno (1094.471337974348); -fno-btr-bb-exclusive (-1301.937870322797); -fno-var-tracking-assignments (-1519.4460677943541); -fno-sched-last-insn-heuristic (2378.2548794046043); -fno-tree-scev-cprop (1595.2422703488514); -fira-share-save-slots (81.88502175290681); -fno-tree-fre (-2417.731670002248)], 8632.805250971398
IMG_yc_demux_be16_c.c, 774, [-fhoist-adjacent-loads (-1406.5730246284877); -funsafe-loop-optimizations (-1187.0685121404952); -fno-shrink-wrap (-2266.372194016761); -fno-finite-math-only (-3748.715056799756); -foptimize-sibling-calls (-1038.1510577176314); -fno-lifetime-dse (-1742.068324578949); -fno-prefetch-loop-arrays (-638.0027498588522); -fno-partial-inlining (-1929.4409828165185); -fno-finite-math-only (-3748.715056799756); -fstrict-volatile-bitfields (932.3504689457425); -fcrossjumping (-3615.9393239644237); -fno-ira-share-save-slots (-3824.092997854508); -fno-graphite (-1932.9283228111758); -fno-tree-ch (-4817.8027213278165); -fno-tree-coalesce-vars (-2903.253091301006); -funroll-all-loops (7013.346982803857)], -26853.425964866532
IMG_yc_demux_le16_c.c, 765, [-fhoist-adjacent-loads (-1406.5730246284877); -funsafe-loop-optimizations (-1187.0685121404952); -fno-shrink-wrap (-2266.372194016761); -fno-finite-math-only (-3748.715056799756); -foptimize-sibling-calls (-1038.1510577176314); -fno-lifetime-dse (-1742.068324578949); -fno-prefetch-loop-arrays (-638.0027498588522); -fno-partial-inlining (-1929.4409828165185); -fno-finite-math-only (-3748.715056799756); -fstrict-volatile-bitfields (932.3504689457425); -fcrossjumping (-3615.9393239644237); -fno-ira-share-save-slots (-3824.092997854508); -fno-graphite (-1932.9283228111758); -fno-tree-ch (-4817.8027213278165); -fno-tree-coalesce-vars (-2903.253091301006); -funroll-all-loops (7013.346982803857)], -26853.425964866532
